Nombre,Género
Antonieta Rivas Mercado,Mujer
Xavier Villaurrutia,Hombre
Agustín Yáñez,Hombre
Salvador Novo,Hombre
Guadalupe Dueñas,Mujer
Octavio Paz,Hombre
José Revueltas,Hombre
Elena Garro,Mujer
Pita Amor,Mujer
Alí Chumacero,Hombre
Juan José Arreola,Hombre
Juan Rulfo,Hombre
Ricardo Garibay,Hombre
Rosario Castellanos,Mujer
Jaime Sabines,Hombre
Tomás Segovia,Hombre
Jorge Ibargüengoitia,Hombre
Amparo Dávila,Mujer
Carlos Fuentes,Hombre
Margo Glantz,Mujer
Salvador Elizondo,Hombre
Elena Poniatowska,Mujer
Juan García Ponce,Hombre
Vicente Leñero,Hombre
Sergio Pitol,Hombre
Gabriel Zaid,Hombre
Fernando del Paso,Hombre
Carlos Monsiváis,Hombre
José Emilio Pacheco,Hombre
Jesús Gardea,Hombre
Homero Aridjis,Hombre
Héctor Aguilar Camín,Hombre
Paco Ignacio Taibo II,Hombre
Ángeles Mastretta,Mujer
Laura Esquivel,Mujer
Luis Zapata,Hombre
Carmen Boullosa,Mujer
Juan Villoro,Hombre
Guillermo Arriaga,Hombre
Malva Flores,Mujer
Elvia Ardalani,Mujer
Sandra Cisneros,Mujer
Marcos Aguinis,Hombre
César Aira,Hombre
Jorge Luis Borges,Hombre
Adolfo Bioy Casares,Hombre
Emeterio Cerro,Hombre
Julio Cortázar,Hombre
Antonio di Benedetto,Hombre
Esteban Echeverría,Hombre
Macedonio Fernández,Hombre
Fogwill,Hombre
Juan Gelman,Hombre
Oliverio Girondo,Hombre
Che Guevara,Hombre
Ricardo Güiraldes,Hombre
José Hernández,Hombre
Norah Lange,Mujer
Leopoldo Lugones,Hombre
Leopoldo Marechal,Hombre
José Mármol,Hombre
Ezequiel Martínez Estrada,Hombre
Manuel Mujica Láinez,Hombre
Silvina Ocampo,Mujer
Victoria Ocampo,Mujer
Juan L. Ortiz,Hombre
Ricardo Piglia,Hombre
Alejandra Pizarnik,Mujer
Manuel Puig,Hombre
Ricardo Rojas,Hombre
Ernesto Sábato,Hombre
Juan José Saer,Hombre
Domingo Faustino Sarmiento,Hombre
Alfonsina Storni,Mujer
Luisa Valenzuela,Mujer
Rodolfo Walsh,Hombre
Renée Ferrer de Arréllaga,Mujer
José Ricardo Mazó,Hombre
Josefina Pla,Mujer
José María Rivarola Matto,Hombre
Augusto Roa Bastos,Hombre
Delmira Agustini,Mujer
Mario Benedetti,Hombre
Matilde Bianchi,Mujer
María de Montserrat,Mujer
Marosa di Giorgio,Mujer
Eduardo Galeano,Hombre
Julio Herrera y Reissig,Hombre
Jorge Majfud,Hombre
Leo Maslíah,Hombre
Tomás de Mattos,Hombre
Jesús Moraes,Hombre
Juan Carlos Onetti,Hombre
Emilio Oribe,Hombre
Mercedes Rein,Mujer
José Enrique Rodó,Hombre
Cristina Peri Rossi,Mujer
Horacio Quiroga,Hombre
Armonía Somers,Mujer
Juan Zorrilla de San Martín,Hombre
